primary_theme,episode_id,trade_date,tau_trade,tau_active,is_active,is_displayed,candidate_count,dragon1_ts_code,dragon1_name,dragon2_ts_code,dragon2_name,dragon3_ts_code,dragon3_name,t_dragon1_ts_code,t_dragon1_name,t_dragon2_ts_code,t_dragon2_name,t_dragon3_ts_code,t_dragon3_name,t_dragon1_stays_dragon1,t_dragon1_stays_top3,t_dragon23_available_slots,t_dragon23_retained_count,t_dragon23_promoted_to_dragon1,daily_top3_available_slots,new_daily_top3_count,new_daily_top3,role_freeze_date,start_equals_freeze,freeze_validation_status
低空经济,EP000556,2026-06-11,2,1,1,0,2,001696.SZ,宗申动力,600178.SH,东安动力,,,001696.SZ,宗申动力,300411.SZ,金盾股份,,,1,1,1,0,0,2,1,600178.SH:东安动力,,0,not_applicable
低空经济,EP000556,2026-06-12,3,2,1,0,5,001696.SZ,宗申动力,000099.SZ,中信海直,600576.SH,祥源文旅,001696.SZ,宗申动力,300411.SZ,金盾股份,,,1,1,1,0,0,3,2,000099.SZ:中信海直;600576.SH:祥源文旅,,0,not_applicable
华为昇腾,EP000461,2026-04-24,0,0,1,1,5,000062.SZ,深圳华强,600633.SH,浙数文化,002331.SZ,皖通科技,000062.SZ,深圳华强,600633.SH,浙数文化,002331.SZ,皖通科技,1,1,2,2,0,3,0,,2026-04-24,1,ok
华为昇腾,EP000461,2026-04-27,1,1,1,0,2,000062.SZ,深圳华强,301248.SZ,杰创智能,,,000062.SZ,深圳华强,600633.SH,浙数文化,002331.SZ,皖通科技,1,1,2,0,0,2,1,301248.SZ:杰创智能,2026-04-24,1,ok
文创产品,EP000155,2025-12-18,0,0,1,1,8,600250.SH,南京商旅,002103.SZ,广博股份,603777.SH,来伊份,600250.SH,南京商旅,002103.SZ,广博股份,603777.SH,来伊份,1,1,2,2,0,3,0,,2025-12-18,1,ok
文创产品,EP000155,2025-12-19,1,1,1,0,3,000863.SZ,三湘印象,300947.SZ,德必集团,300703.SZ,创源股份,600250.SH,南京商旅,002103.SZ,广博股份,603777.SH,来伊份,0,0,2,0,0,3,3,000863.SZ:三湘印象;300947.SZ:德必集团;300703.SZ:创源股份,2025-12-18,1,ok
水产品,EP000081,2025-11-21,0,0,1,1,3,000798.SZ,中水渔业,002069.SZ,獐子岛,002696.SZ,百洋股份,000798.SZ,中水渔业,002069.SZ,獐子岛,002696.SZ,百洋股份,1,1,2,2,0,3,0,,2025-11-21,1,ok
水产品,EP000081,2025-11-24,1,1,1,0,2,000798.SZ,中水渔业,600097.SH,开创国际,,,000798.SZ,中水渔业,002069.SZ,獐子岛,002696.SZ,百洋股份,1,1,2,0,0,2,1,600097.SH:开创国际,2025-11-21,1,ok
疫苗概念,EP000766,2026-08-20,0,0,1,1,19,688356.SH,键凯科技,688276.SH,百克生物,688185.SH,康希诺,688356.SH,键凯科技,688276.SH,百克生物,688185.SH,康希诺,1,1,2,2,0,3,0,,2026-08-20,1,ok
疫苗概念,EP000766,2026-08-21,1,1,1,0,5,002038.SZ,双鹭药业,688356.SH,键凯科技,000931.SZ,中关村,688356.SH,键凯科技,688276.SH,百克生物,688185.SH,康希诺,0,1,2,0,0,3,2,002038.SZ:双鹭药业;000931.SZ:中关村,2026-08-20,1,ok
重庆市,EP000032,2025-11-06,0,0,1,0,3,000838.SZ,财信发展,600939.SH,重庆建工,000514.SZ,渝开发,000838.SZ,财信发展,600939.SH,重庆建工,000514.SZ,渝开发,1,1,2,2,0,3,0,,,0,not_applicable
重庆市,EP000032,2025-11-07,1,1,1,0,2,600939.SH,重庆建工,000514.SZ,渝开发,,,000838.SZ,财信发展,600939.SH,重庆建工,000514.SZ,渝开发,0,0,2,2,1,2,0,,,0,not_applicable
钍基熔盐,EP000015,2025-11-03,0,0,1,1,6,603169.SH,兰石重装,002266.SZ,浙富控股,002255.SZ,海陆重工,603169.SH,兰石重装,002266.SZ,浙富控股,002255.SZ,海陆重工,1,1,2,2,0,3,0,,2025-11-03,1,ok
钍基熔盐,EP000015,2025-11-04,1,1,1,1,4,603169.SH,兰石重装,002255.SZ,海陆重工,300402.SZ,宝色股份,603169.SH,兰石重装,002266.SZ,浙富控股,002255.SZ,海陆重工,1,1,2,1,0,3,1,300402.SZ:宝色股份,2025-11-03,1,ok
