prior_role,return_n,period_compounded_return_mean,period_compounded_return_median,period_compounded_return_p25,period_compounded_return_p75,positive_return_share,max_cumulative_return_median,max_drawdown_median,later_role_n,later_top3_share,later_same_role_share,later_dragon1_share
Dragon1,656,4.938959841822,2.78485,-0.756554841525,9.97385,0.707317073171,3.78342778508,0,656,0.19512195122,0.120426829268,0.120426829268
Dragon2,656,4.287802044067,2.31635,-0.907774155418,9.961325,0.670731707317,3.4701,-0.06665,656,0.153963414634,0.045731707317,0.071646341463
Dragon3,535,3.805155084705,2.2477,-1.48828555734,7.960677528078,0.642990654206,3.1789,-0.3817,535,0.097196261682,0.039252336449,0.026168224299
all_top3,1847,4.379271124775,2.5111,-1.024173948134,9.94175,0.675690308609,3.4483,-0.0643,1847,0.15213860314,0.070384407147,0.075798592312
