trade_date,displayed_theme_count,count_ge10,rank1_theme,rank1_limit_up_count,rank1_max_board_count,rank1_ladder_completeness,rank1_combined_score,rank2_theme,rank2_limit_up_count,rank2_max_board_count,rank2_ladder_completeness,rank2_combined_score,rank3_theme,rank3_limit_up_count,rank3_max_board_count,rank3_ladder_completeness,rank3_combined_score,rank4_theme,rank4_limit_up_count,rank4_max_board_count,rank4_ladder_completeness,rank4_combined_score,rank5_theme,rank5_limit_up_count,rank5_max_board_count,rank5_ladder_completeness,rank5_combined_score,prior_top1_fate,prior_top1_current_rank,current_top1_origin,top5_overlap_count,new_entry_count
2025-11-27,5,0,锂电池,8,3,0.666667,0.8590909091,芯片,5,2,1.0,0.7181818182,端侧AI,6,1,1.0,0.6954545455,商业航天,4,2,1.0,0.6181818182,流感,4,4,0.5,0.6136363636,exit_top5,,outside_prev_top5,1,4
2025-11-28,5,1,商业航天,12,4,0.75,0.8428571429,海峡两岸,7,2,1.0,0.8285714286,锂电池,5,4,0.5,0.7178571429,人工智能,4,2,1.0,0.675,医药,3,3,1.0,0.6571428571,remain_top5_lower,3,prev_rank2_to_5,2,3
2025-12-01,5,1,端侧AI,17,3,1.0,0.975,商业航天,6,5,0.8,0.825,有色金属,6,3,0.666667,0.725,锂电池,3,5,0.4,0.585,食品饮料,2,4,0.5,0.42,remain_top5_lower,2,outside_prev_top5,2,3
2025-12-02,5,0,商业航天,5,6,0.6,0.8318181818,地产链,5,7,0.4,0.7909090909,人工智能,5,3,0.666667,0.6954545455,食品饮料,4,5,0.4,0.6454545455,海峡两岸,4,2,1.0,0.6181818182,exit_top5,,prev_rank2_to_5,2,3
2025-12-03,5,0,海峡两岸,5,2,1.0,0.7571428571,商业航天,4,4,1.0,0.75,食品饮料,4,6,0.4,0.6642857143,医药,4,6,0.2,0.5714285714,通信,4,1,1.0,0.5,remain_top5_lower,2,prev_rank2_to_5,3,2
2025-12-04,5,1,机器人概念,10,5,0.6,0.88,商业航天,6,3,1.0,0.8,摩尔线程概念,5,1,1.0,0.55,医药,2,2,1.0,0.43,海峡两岸,2,3,0.666667,0.34,remain_top5_lower,5,outside_prev_top5,3,2
2025-12-05,5,2,商业航天,13,5,0.8,0.9363636364,海峡两岸,11,4,0.75,0.8090909091,化工,5,2,1.0,0.7136363636,通信,6,1,1.0,0.65,食品饮料,4,7,0.4,0.6,exit_top5,,prev_rank2_to_5,2,3
2025-12-08,5,3,海峡两岸,18,5,1.0,0.9333333333,通信,10,2,1.0,0.7083333333,商业航天,15,6,0.4,0.7,机器人概念,4,4,0.5,0.4916666667,化工,2,3,0.666667,0.3833333333,remain_top5_lower,3,prev_rank2_to_5,4,1
2025-12-09,5,2,海峡两岸,11,5,1.0,0.9222222222,商业航天,10,5,0.8,0.8277777778,零售,5,3,1.0,0.7722222222,文化传媒,4,2,1.0,0.5777777778,通信,3,5,0.4,0.4611111111,rank1_hold,1,prev_rank1,3,2
2025-12-10,5,0,零售,8,4,1.0,0.89375,海南,9,2,1.0,0.7625,商业航天,7,3,1.0,0.675,地产链,8,3,0.666667,0.6375,海峡两岸,5,6,0.4,0.5,remain_top5_lower,5,prev_rank2_to_5,3,2
2025-12-11,5,1,商业航天,10,4,1.0,0.92,芯片,3,3,0.666667,0.63,通信,3,1,1.0,0.53,地产链,2,4,0.5,0.48,零售,2,5,0.4,0.44,remain_top5_lower,5,prev_rank2_to_5,3,2
2025-12-12,5,2,商业航天,18,6,0.8,0.9222222222,燃气轮机,10,2,1.0,0.8111111111,智能电网,9,2,1.0,0.7333333333,核电,7,2,1.0,0.5833333333,芯片,7,2,1.0,0.5833333333,rank1_hold,1,prev_rank1,2,3
2025-12-15,5,0,食品饮料,8,1,1.0,0.7722222222,商业航天,9,7,0.4,0.7666666667,零售,6,3,0.666667,0.7611111111,光伏,4,1,1.0,0.5666666667,核电,2,3,0.666667,0.5444444444,remain_top5_lower,2,outside_prev_top5,2,3
2025-12-16,5,0,零售,9,4,0.75,0.85,智能驾驶,9,2,1.0,0.8416666667,商业航天,8,4,0.75,0.6833333333,食品饮料,3,2,1.0,0.4916666667,实控人变更,2,3,0.666667,0.4083333333,remain_top5_lower,4,prev_rank2_to_5,3,2
2025-12-17,5,0,通信,8,1,1.0,0.7714285714,实控人变更,3,4,0.75,0.75,锂电池,5,2,1.0,0.7,液冷,6,1,1.0,0.6428571429,金融概念,2,2,1.0,0.4214285714,exit_top5,,outside_prev_top5,1,4
2025-12-18,5,0,文创产品,8,2,1.0,0.85,商业航天,7,2,1.0,0.7384615385,零售,5,6,0.6,0.7384615385,医药,5,2,1.0,0.7153846154,智能驾驶,3,3,1.0,0.6461538462,exit_top5,,outside_prev_top5,0,5
2025-12-19,5,0,智能驾驶,6,4,1.0,0.9076923077,核电,9,2,1.0,0.8923076923,地产链,6,3,1.0,0.8846153846,商业航天,5,2,1.0,0.6846153846,农业,3,3,0.666667,0.4769230769,exit_top5,,prev_rank2_to_5,2,3
2025-12-22,5,1,海南,25,2,1.0,0.94375,商业航天,5,3,1.0,0.6625,芯片,7,1,1.0,0.59375,核电,4,2,1.0,0.525,通信,5,3,0.666667,0.48125,exit_top5,,outside_prev_top5,2,3
2025-12-23,5,1,芯片,10,2,1.0,0.9142857143,海南,5,3,0.666667,0.7142857143,液冷,7,1,1.0,0.6428571429,化工,4,2,1.0,0.5857142857,锂电池,4,1,1.0,0.4,remain_top5_lower,2,prev_rank2_to_5,2,3
2025-12-24,5,2,商业航天,23,5,0.8,0.9,海峡两岸,10,3,1.0,0.895,化工,5,3,1.0,0.695,海南,3,4,0.75,0.565,通信,5,2,1.0,0.56,exit_top5,,outside_prev_top5,2,3
2025-12-25,5,2,机器人概念,13,2,1.0,0.8444444444,商业航天,22,6,0.4,0.8222222222,芯片,5,4,0.75,0.7,实控人变更,5,10,0.2,0.6222222222,造纸,4,2,1.0,0.5777777778,remain_top5_lower,2,outside_prev_top5,1,4
2025-12-26,5,3,锂电池,11,4,1.0,0.865,商业航天,20,7,0.6,0.84,机器人概念,10,11,0.6,0.74,海峡两岸,3,3,1.0,0.63,海南,6,5,0.4,0.615,remain_top5_lower,3,outside_prev_top5,2,3
2025-12-29,5,2,商业航天,22,8,0.8,0.9125,机器人概念,11,12,0.8,0.8375,化工,3,1,1.0,0.525,液冷,3,1,1.0,0.525,实控人变更,2,10,0.2,0.45,exit_top5,,prev_rank2_to_5,2,3
2025-12-30,5,1,机器人概念,19,5,1.0,0.95,商业航天,8,5,0.6,0.7,AI智能体,6,3,0.666667,0.5666666667,化工,3,2,1.0,0.5,实控人变更,3,11,0.4,0.4333333333,remain_top5_lower,2,prev_rank2_to_5,4,1
2025-12-31,5,1,商业航天,17,9,0.8,0.9666666667,机器人概念,8,6,0.6,0.7166666667,人工智能,7,2,1.0,0.7083333333,服装家纺,3,2,1.0,0.5083333333,芯片,3,1,1.0,0.3,remain_top5_lower,2,prev_rank2_to_5,2,3
2026-01-05,5,4,商业航天,12,4,1.0,0.87,脑机接口,33,1,1.0,0.855,人工智能,10,3,1.0,0.775,芯片,11,1,1.0,0.685,医药,6,1,1.0,0.545,rank1_hold,1,prev_rank1,3,2
