ts_code,name,is_initial_leader1,is_realized_episode_leader,themes,episode_ids,list_date,first_return_date,last_return_date,observed_return_days,compounded_ytd_return,partial_year,list_date_missing,compounded_ytd_return_pct
001237.SZ,惠康科技,0,1,家电,EP000616,2026-05-22,2026-05-22,2026-08-31,71,-0.0253481778,1,0,-2.53481778
001255.SZ,博菲电气,0,1,智能电网,EP000200,2022-09-30,2026-01-05,2026-08-31,160,-0.1480663700,0,0,-14.806637
001256.SZ,炜冈科技,0,1,新型工业化,EP000626,2022-12-05,2026-01-05,2026-08-31,160,0.0677201503,0,0,6.77201503
001258.SZ,立新能源,1,1,电力;绿色电力,EP000668;EP000686;EP000692;EP000736;EP000741,2022-07-27,2026-01-05,2026-08-31,160,0.8645282720,0,0,86.4528272
001259.SZ,利仁科技,1,1,股权转让,EP000483;EP000505;EP000510,2022-08-31,2026-01-05,2026-08-31,160,0.6020343034,0,0,60.20343034
001266.SZ,宏英智能,0,1,储能,EP000054,2022-02-28,2026-01-05,2026-08-31,160,-0.1188068981,0,0,-11.88068981
001267.SZ,汇绿生态,1,0,通信,EP000342,2021-11-17,2026-01-05,2026-08-31,160,0.7951573675,0,0,79.51573675
001279.SZ,强邦新材,0,1,包装印刷,EP000597,2024-10-11,2026-01-05,2026-08-31,160,-0.2370869573,0,0,-23.70869573
001288.SZ,运机集团,1,0,机器人概念,EP000244,2021-11-01,2026-01-05,2026-08-31,160,-0.0727013569,0,0,-7.27013569
001296.SZ,长江材料,0,1,3D打印,EP000083,2021-12-24,2026-01-05,2026-08-31,160,-0.1986750528,0,0,-19.86750528
001299.SZ,美能能源,0,1,天然气,EP000432,2022-10-31,2026-01-05,2026-08-31,160,-0.0906743670,0,0,-9.0674367
001300.SZ,三柏硕,0,1,跨境电商,EP000174,2022-10-19,2026-01-05,2026-08-31,160,-0.2226551350,0,0,-22.2655135
001313.SZ,粤海饲料,0,1,农业,EP000624,2022-02-16,2026-01-05,2026-08-31,160,0.1215901279,0,0,12.15901279
001317.SZ,三羊马,1,1,无人驾驶;智能驾驶,EP000144;EP000145,2021-11-30,2026-01-05,2026-08-31,160,-0.0070775256,0,0,-0.70775256
001330.SZ,博纳影业,1,1,文化传媒,EP000125,2022-08-18,2026-01-05,2026-08-31,160,-0.2618427092,0,0,-26.18427092
001331.SZ,胜通能源,1,1,实控人变更;机器人概念,EP000143;EP000160;EP000172;EP000201,2022-09-08,2026-01-06,2026-08-31,138,0.3726655361,0,0,37.26655361
001337.SZ,四川黄金,1,0,黄金,EP000233,2023-03-03,2026-01-05,2026-08-31,160,0.9364856856,0,0,93.64856856
001339.SZ,智微智能,1,0,算力,EP000604,2022-08-15,2026-01-05,2026-08-31,160,1.0719863294,0,0,107.19863294
001359.SZ,平安电工,1,1,化工;通信,EP000536;EP000713,2024-03-28,2026-01-05,2026-08-31,160,0.6547298164,0,0,65.47298164
001360.SZ,南矿集团,0,1,黄金,EP000284,2023-04-10,2026-01-05,2026-08-31,160,-0.1479899388,0,0,-14.79899388
001389.SZ,广合科技,1,1,通信,EP000236,2024-04-02,2026-01-05,2026-08-31,160,1.0006081823,0,0,100.06081823
001400.SZ,江顺科技,0,1,算力,EP000205,2025-04-24,2026-01-05,2026-08-31,160,0.5294128531,0,0,52.94128531
001696.SZ,宗申动力,0,1,低空经济,EP000556,1997-03-06,2026-01-05,2026-08-31,160,-0.2882751155,0,0,-28.82751155
001896.SZ,豫能控股,0,1,电力;算力,EP000288;EP000433,1998-01-22,2026-01-05,2026-08-31,160,1.2903855446,0,0,129.03855446
002009.SZ,天奇股份,0,1,机器人概念,EP000244,2004-06-29,2026-01-05,2026-08-31,160,-0.2635548207,0,0,-26.35548207
002015.SZ,协鑫能科,1,1,储能,EP000771,2004-07-08,2026-01-05,2026-08-31,160,0.6004172765,0,0,60.04172765
002030.SZ,达安基因,1,1,病毒防治,EP000245;EP000488,2004-08-09,2026-01-05,2026-08-31,160,-0.0838948945,0,0,-8.38948945
002033.SZ,丽江股份,0,1,旅游,EP000443,2004-08-25,2026-01-05,2026-08-31,160,0.0324060706,0,0,3.24060706
002036.SZ,联创电子,1,0,通信,EP000658,2004-09-03,2026-01-05,2026-08-31,155,-0.3520874181,0,0,-35.20874181
002038.SZ,双鹭药业,0,1,保健品,EP000381,2004-09-09,2026-01-05,2026-08-31,160,-0.1871487830,0,0,-18.7148783
002041.SZ,登海种业,1,0,农业,EP000775,2005-04-18,2026-01-05,2026-08-31,160,0.1320800435,0,0,13.20800435
002044.SZ,美年健康,0,1,AI医疗,EP000150,2005-05-18,2026-01-05,2026-08-31,160,-0.1155199534,0,0,-11.55199534
002047.SZ,宝鹰股份,0,1,ST摘帽,EP000577,2005-05-31,2026-01-05,2026-08-31,159,-0.0625016573,0,0,-6.25016573
002051.SZ,中工国际,0,1,基础建设,EP000419;EP000439,2006-06-19,2026-01-05,2026-08-31,160,-0.0462823003,0,0,-4.62823003
002053.SZ,云南能投,0,1,电力,EP000627,2006-06-27,2026-01-05,2026-08-31,160,-0.1816589675,0,0,-18.16589675
002081.SZ,金螳螂,0,1,商业航天;芯片,EP000470;EP000674,2006-11-20,2026-01-05,2026-08-31,160,0.8398809043,0,0,83.98809043
002083.SZ,孚日股份,0,1,电解液;锂电池,EP000034;EP000134;EP000402;EP000688,2006-11-24,2026-01-05,2026-08-31,160,-0.0941879978,0,0,-9.41879978
