primary_theme,is_headline,lifecycle_class,episode_count,strict_recurrence,gap_recurrence,recurrent_union,active_days,displayed_days,first_active_date,last_active_date,total_episode_active_days,median_episode_active_days,max_episode_active_days,total_limit_up_count,peak_limit_up_count,peak_max_board_count,best_rank_combined,distinct_realized_leader_count,realized_leaders,after_fade_comparisons,after_fade_switches,after_fade_switch_rate
石墨化,0,single_wave_one_day,1,0,0,0,1,0,2026-06-05,2026-06-05,1,1,1,2,2,2,8,1,600516.SH:方大炭素,0,0,
石油石化,1,recurrent_union,8,1,0,1,12,9,2026-01-28,2026-07-23,12,1.0,4,103,26,5,1,6,600759.SH:洲际油气;300157.SZ:新锦动力;300839.SZ:博汇股份;300164.SZ:通源石油;002490.SZ:山东墨龙;603619.SH:中曼石油,7,6,0.8571428571
硅片,0,single_wave_one_day,1,0,0,0,1,0,2026-06-26,2026-06-26,1,1,1,3,3,1,7,1,688432.SH:有研硅,0,0,
福建,1,recurrent_union,2,1,0,1,9,5,2025-10-30,2025-11-13,9,4.5,7,49,17,11,1,2,000592.SZ:平潭发展;000632.SZ:三木集团,1,1,1.0
稀土永磁,0,recurrent_union,6,1,0,1,6,0,2026-02-25,2026-08-14,6,1.0,1,20,5,2,7,5,600010.SH:包钢股份;600259.SH:中稀有色;002645.SZ:华宏科技;600392.SH:盛和资源;601609.SH:金田股份,5,4,0.8
端侧AI,1,recurrent_union,3,1,0,1,6,4,2025-11-27,2026-08-31,6,2,3,40,17,3,1,3,002632.SZ:道明光学;000676.SZ:智度股份;603893.SH:瑞芯微,2,2,1.0
算力,1,recurrent_union,26,1,0,1,109,71,2025-11-17,2026-08-31,109,2.0,33,751,27,7,1,23,605303.SH:园林股份;000070.SZ:特发信息;603090.SH:宏盛股份;002909.SZ:集泰股份;001400.SZ:江顺科技;301396.SZ:宏景科技;000815.SZ:美利云;300731.SZ:科创新源;600869.SH:远东股份;001896.SZ:豫能控股;601789.SH:宁波建工;600666.SH:奥瑞德;603158.SH:腾龙股份;002580.SZ:圣阳股份;001210.SZ:金房能源;605318.SH:法狮龙;000811.SZ:冰轮环境;600094.SH:大名城;600410.SH:华胜天成;301085.SZ:亚康股份;603629.SH:利通电子;300839.SZ:博汇股份;002418.SZ:康盛股份,25,23,0.92
绿色电力,1,recurrent_union,8,1,1,1,9,6,2026-01-14,2026-08-13,9,1.0,2,35,8,6,1,6,002310.SZ:东方园林;600396.SH:华电辽能;600578.SH:京能电力;002775.SZ:文科股份;001258.SZ:立新能源;605286.SH:同力日升,7,5,0.7142857143
网络安全,0,single_wave_one_day,1,0,0,0,1,0,2026-08-28,2026-08-28,1,1,1,2,2,2,9,1,600654.SH:中安科,0,0,
美容护理,0,single_wave_one_day,1,0,0,0,1,0,2025-11-19,2025-11-19,1,1,1,2,2,2,9,1,605136.SH:丽人丽妆,0,0,
股权转让,1,recurrent_union,13,1,1,1,20,1,2026-01-06,2026-08-17,20,1,4,51,4,8,3,10,001210.SZ:金房能源;002795.SZ:永和智控;600785.SH:新华百货;000890.SZ:法尔胜;603777.SH:来伊份;001259.SZ:利仁科技;300649.SZ:杭州园林;000048.SZ:京基智农;603499.SH:翔港科技;300684.SZ:中石科技,12,9,0.75
脑机接口,1,recurrent_union,4,1,0,1,8,6,2026-01-05,2026-07-28,8,1.5,4,81,33,5,2,4,002324.SZ:普利特;002195.SZ:岩山科技;000566.SZ:海南海药;002173.SZ:创新医疗,3,3,1.0
航运,1,recurrent_union,3,1,0,1,4,2,2026-02-24,2026-06-15,4,1,2,18,7,5,3,3,600026.SH:中远海能;601872.SH:招商轮船;000520.SZ:凤凰航运,2,2,1.0
芯片,1,recurrent_union,20,1,0,1,134,101,2025-11-03,2026-08-31,134,2.0,57,1215,42,6,1,16,000620.SZ:盈新发展;688233.SH:神工股份;000859.SZ:国风新材;603933.SH:睿能科技;002725.SZ:跃岭股份;603163.SH:圣晖集成;000551.SZ:创元科技;603929.SH:亚翔集成;002119.SZ:康强电子;300480.SZ:光力科技;605178.SH:时空科技;603316.SH:诚邦股份;002428.SZ:云南锗业;301392.SZ:汇成真空;603773.SH:沃格光电;002081.SZ:金螳螂,19,16,0.8421052632
虚拟人,0,single_wave_one_day,1,0,0,0,1,0,2026-08-04,2026-08-04,1,1,1,3,3,3,8,1,002354.SZ:天娱数科,0,0,
证券,0,recurrent_union,3,1,0,1,4,0,2026-06-22,2026-08-31,4,1,2,12,4,4,12,3,601066.SH:中信建投;601162.SH:天风证券;000712.SZ:锦龙股份,2,2,1.0
跨境电商,0,recurrent_union,2,1,0,1,2,0,2025-12-01,2025-12-25,2,1.0,1,5,3,2,8,2,600981.SH:苏豪汇鸿;001300.SZ:三柏硕,1,1,1.0
轨道交通,1,recurrent_union,2,1,0,1,2,1,2026-01-06,2026-03-31,2,1.0,1,8,5,2,2,2,301016.SZ:雷尔伟;000008.SZ:神州高铁,1,1,1.0
通信,1,recurrent_union,25,1,1,1,132,96,2025-11-03,2026-08-31,132,3,28,1048,39,8,1,20,605258.SH:协和电子;603052.SH:可川科技;002636.SZ:金安国纪;300814.SZ:中富电路;003018.SZ:金富科技;603386.SH:骏亚科技;601869.SH:长飞光纤;002130.SZ:沃尔核材;001389.SZ:广合科技;003031.SZ:中瓷电子;603618.SH:杭电股份;000890.SZ:法尔胜;000720.SZ:新能泰山;002491.SZ:通鼎互联;002552.SZ:宝鼎科技;000823.SZ:超声电子;002141.SZ:贤丰控股;002815.SZ:崇达技术;603118.SH:共进股份;301526.SZ:国际复材,24,23,0.9583333333
造纸,1,recurrent_union,3,1,0,1,3,1,2025-12-25,2026-07-06,3,1,1,9,4,4,5,3,605007.SH:五洲特纸;605377.SH:华旺科技;600793.SH:宜宾纸业,2,2,1.0
酿酒,1,recurrent_union,5,1,1,1,7,3,2025-11-10,2026-05-25,7,1,3,35,20,3,1,4,002374.SZ:中锐股份;000995.SZ:皇台酒业;600382.SH:广东明珠;603919.SH:金徽酒,4,3,0.75
重庆市,0,single_wave_multiday,1,0,0,0,2,0,2025-11-06,2025-11-07,2,2,2,5,3,2,8,1,600939.SH:重庆建工,0,0,
量子科技,1,single_wave_one_day,1,0,0,0,1,1,2025-10-30,2025-10-30,1,1,1,2,2,4,5,1,603232.SH:格尔软件,0,0,
金刚石概念,0,recurrent_union,5,1,0,1,7,0,2025-11-11,2026-08-05,7,1,2,25,7,4,6,4,300179.SZ:四方达;603661.SH:恒林股份;600172.SH:黄河旋风;002655.SZ:共达电声,4,3,0.75
金属铝,1,recurrent_union,3,1,0,1,3,2,2025-11-06,2026-07-14,3,1,1,17,8,2,4,3,002578.SZ:闽发铝业;002501.SZ:利源股份;600595.SH:中孚实业,2,2,1.0
金融概念,1,recurrent_union,7,1,0,1,8,2,2025-12-05,2026-08-27,8,1,2,27,5,5,2,7,300377.SZ:赢时胜;603123.SH:翠微股份;002177.SZ:御银股份;300561.SZ:汇金科技;002197.SZ:证通电子;603106.SH:恒银科技;003040.SZ:楚天龙,6,6,1.0
钍基熔盐,1,single_wave_multiday,1,0,0,0,2,2,2025-11-03,2025-11-04,2,2,2,9,6,3,4,1,603169.SH:兰石重装,0,0,
钠电池,0,single_wave_one_day,1,0,0,0,1,0,2026-04-17,2026-04-17,1,1,1,2,2,3,9,1,600152.SH:维科技术,0,0,
钢铁,0,single_wave_one_day,1,0,0,0,1,0,2026-03-17,2026-03-17,1,1,1,2,2,2,8,1,600307.SH:酒钢宏兴,0,0,
锂电池,1,recurrent_union,27,1,1,1,58,37,2025-10-30,2026-08-24,58,2,10,368,24,8,1,21,001203.SZ:大中矿业;002083.SZ:孚日股份;603778.SH:国晟科技;000546.SZ:金圆股份;000695.SZ:滨海能源;000036.SZ:华联控股;000056.SZ:皇庭国际;300497.SZ:富祥药业;002192.SZ:融捷股份;300165.SZ:天瑞仪器;002580.SZ:圣阳股份;600338.SH:西藏珠峰;603937.SH:丽岛新材;001223.SZ:欧克科技;603032.SH:德新科技;002805.SZ:丰元股份;300518.SZ:新迅达;301587.SZ:中瑞股份;002388.SZ:新亚制程;002748.SZ:世龙实业;301152.SZ:天力锂能,26,24,0.9230769231
锂矿,0,single_wave_one_day,1,0,0,0,1,0,2026-06-24,2026-06-24,1,1,1,4,4,2,6,1,603399.SH:永杉锂业,0,0,
阿里巴巴概念,1,single_wave_one_day,1,0,0,0,1,1,2026-01-14,2026-01-14,1,1,1,7,7,3,3,1,601116.SH:三江购物,0,0,
阿里系AI,0,single_wave_one_day,1,0,0,0,1,0,2025-11-13,2025-11-13,1,1,1,4,4,1,7,1,300785.SZ:值得买,0,0,
零售,1,recurrent_union,15,1,1,1,29,12,2025-11-10,2026-08-25,29,1,8,110,9,6,1,10,600693.SH:东百集团;600828.SH:茂业商业;600865.SH:百大集团;001211.SZ:双枪科技;002251.SZ:步步高;000759.SZ:中百集团;600113.SH:浙江东日;603277.SH:银都股份;601116.SH:三江购物;600785.SH:新华百货,14,11,0.7857142857
非金属材料,1,recurrent_union,2,1,0,1,5,4,2026-06-18,2026-07-21,5,2.5,4,33,11,6,2,2,603407.SH:长裕集团;301580.SZ:爱迪特,1,1,1.0
面板,1,recurrent_union,3,1,0,1,3,2,2026-03-05,2026-06-30,3,1,1,34,23,2,1,3,002952.SZ:亚世光电;688055.SH:龙腾光电;000100.SZ:TCL科技,2,2,1.0
风电,1,recurrent_union,2,1,1,1,7,5,2026-03-12,2026-07-27,7,3.5,6,29,8,5,2,2,600396.SH:华电辽能;603988.SH:中电电机,1,1,1.0
食品饮料,1,recurrent_union,12,1,1,1,32,9,2025-11-10,2026-08-18,32,2.0,6,112,15,7,1,9,600429.SH:三元股份;002702.SZ:海欣食品;603696.SH:安记食品;002910.SZ:庄园牧场;000523.SZ:红棉股份;603020.SH:爱普股份;605300.SH:佳禾食品;002329.SZ:皇氏集团;605179.SH:一鸣食品,11,10,0.9090909091
黄金,1,recurrent_union,13,1,1,1,30,13,2026-01-13,2026-08-28,30,2,8,151,29,8,1,8,002574.SZ:明牌珠宝;601212.SH:白银有色;002155.SZ:湖南黄金;001360.SZ:南矿集团;002345.SZ:潮宏基;000506.SZ:招金黄金;000603.SZ:盛达资源;000017.SZ:深中华A,12,9,0.75
