trade_date,ts_code,name,lu_time,lu_desc,status
20260911,000636.SZ,风华高科,13:37:21,电阻电容,首板
20260911,000823.SZ,超声电子,13:04:15,通信,5天3板
20260911,000980.SZ,众泰汽车,11:08:36,汽车类,4天3板
20260911,000993.SZ,闽东电力,09:25:00,绿色电力,3连板
20260911,001232.SZ,嘉立创,13:47:54,通信,首板
20260911,002161.SZ,远望谷,09:25:00,并购重组,首板
20260911,002201.SZ,九鼎新材,13:36:24,化工,2连板
20260911,002218.SZ,拓日新能,13:02:12,光伏,首板
20260911,002242.SZ,九阳股份,10:09:30,家电,首板
20260911,002519.SZ,银河电子,13:51:30,军工,首板
20260911,002560.SZ,通达股份,09:49:51,电气设备,首板
20260911,002585.SZ,双星新材,09:33:18,电阻电容,首板
20260911,002790.SZ,瑞尔特,09:25:00,地产链,4连板
20260911,002815.SZ,崇达技术,13:39:57,通信,首板
20260911,002848.SZ,高斯贝尔,09:52:51,通信,首板
20260911,002902.SZ,铭普光磁,09:52:54,通信,首板
20260911,002912.SZ,中新赛克,09:25:00,AI应用,2连板
20260911,300563.SZ,神宇股份,10:06:24,通信,首板
20260911,600088.SH,中视传媒,11:05:36,AI应用,首板
20260911,600184.SH,光电股份,09:36:21,通信,首板
20260911,600207.SH,安彩高科,09:39:34,光伏,首板
20260911,600237.SH,铜峰电子,14:16:24,电阻电容,首板
20260911,600410.SH,华胜天成,09:40:56,AI应用,首板
20260911,600876.SH,凯盛新能,09:31:30,光伏,2连板
20260911,600967.SH,内蒙一机,10:34:10,军工,首板
20260911,601199.SH,江南水务,13:50:30,水务,首板
20260911,603136.SH,天目湖,14:14:48,旅游,首板
20260911,603336.SH,宏辉果蔬,13:55:13,农业,首板
20260911,603386.SH,骏亚科技,14:08:56,通信,首板
20260911,603421.SH,鼎信通讯,10:20:33,电气设备,3连板
20260911,603439.SH,三力制药,14:22:59,医药,首板
20260911,603466.SH,风语筑,09:35:56,AI应用,首板
20260911,603693.SH,江苏新能,10:05:37,绿色电力,首板
20260911,603936.SH,博敏电子,13:36:04,通信,首板
20260911,603938.SH,三孚股份,09:39:07,芯片,4天2板
20260911,605011.SH,杭州热电,09:55:17,绿色电力,首板
20260911,605058.SH,澳弘电子,10:20:17,通信,首板
20260911,605069.SH,正和生态,09:32:51,AI应用,首板
20260911,605088.SH,冠盛股份,09:50:40,机器人概念,首板
20260911,605258.SH,协和电子,09:45:02,通信,首板
